ncols         21
nrows       1001
xllcorner   -2.5
yllcorner  -52.5
cellsize     5.0
NODATA_v   -9999
2525    2520    2515    2510    2505    2500    2500    2500    2500    2500    2500    2500    2500    2500    2500    2500    2505    2510    2515    2520    2525
2522.5  2517.5  2512.5  2507.5  2502.5  2497.5  2497.5  2497.5  2497.5  2497.5  2497.5  2497.5  2497.5  2497.5  2497.5  2497.5  2502.5  2507.5  2512.5  2517.5  2522.5
2520    2515    2510    2505    2500    2495    2495    2495    2495    2495    2495    2495    2495    2495    2495    2495    2500    2505    2510    2515    2520
  2517.5  2512.5  2507.5  2502.5  2497.5  2492.5  2492.5  2492.5  2492.5  2492.5  2492.5  2492.5  2492.5  2492.5  2492.5  2492.5  2497.5  2502.5  2507.5  2512.5  2517.5
    2515    2510    2505    2500    2495    2490    2490    2490    2490    2490    2490    2490    2490    2490    2490    2490    2495    2500    2505    2510    2515
  2512.5  2507.5  2502.5  2497.5  2492.5  2487.5  2487.5  2487.5  2487.5  2487.5  2487.5  2487.5  2487.5  2487.5  2487.5  2487.5  2492.5  2497.5  2502.5  2507.5  2512.5
    2510    2505    2500    2495    2490    2485    2485    2485    2485    2485    2485    2485    2485    2485    2485    2485    2490    2495    2500    2505    2510
  2507.5  2502.5  2497.5  2492.5  2487.5  2482.5  2482.5  2482.5  2482.5  2482.5  2482.5  2482.5  2482.5  2482.5  2482.5  2482.5  2487.5  2492.5  2497.5  2502.5  2507.5
    2505    2500    2495    2490    2485    2480    2480    2480    2480    2480    2480    2480    2480    2480    2480    2480    2485    2490    2495    2500    2505
  2502.5  2497.5  2492.5  2487.5  2482.5  2477.5  2477.5  2477.5  2477.5  2477.5  2477.5  2477.5  2477.5  2477.5  2477.5  2477.5  2482.5  2487.5  2492.5  2497.5  2502.5
    2500    2495    2490    2485    2480    2475    2475    2475    2475    2475    2475    2475    2475    2475    2475    2475    2480    2485    2490    2495    2500
  2497.5  2492.5  2487.5  2482.5  2477.5  2472.5  2472.5  2472.5  2472.5  2472.5  2472.5  2472.5  2472.5  2472.5  2472.5  2472.5  2477.5  2482.5  2487.5  2492.5  2497.5
    2495    2490    2485    2480    2475    2470    2470    2470    2470    2470    2470    2470    2470    2470    2470    2470    2475    2480    2485    2490    2495
  2492.5  2487.5  2482.5  2477.5  2472.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2472.5  2477.5  2482.5  2487.5  2492.5
    2490    2485    2480    2475    2470    2465    2465    2465    2465    2465    2465    2465    2465    2465    2465    2465    2470    2475    2480    2485    2490
  2487.5  2482.5  2477.5  2472.5  2467.5  2462.5  2462.5  2462.5  2462.5  2462.5  2462.5  2462.5  2462.5  2462.5  2462.5  2462.5  2467.5  2472.5  2477.5  2482.5  2487.5
    2485    2480    2475    2470    2465    2460    2460    2460    2460    2460    2460    2460    2460    2460    2460    2460    2465    2470    2475    2480    2485
  2482.5  2477.5  2472.5  2467.5  2462.5  2457.5  2457.5  2457.5  2457.5  2457.5  2457.5  2457.5  2457.5  2457.5  2457.5  2457.5  2462.5  2467.5  2472.5  2477.5  2482.5
    2480    2475    2470    2465    2460    2455    2455    2455    2455    2455    2455    2455    2455    2455    2455    2455    2460    2465    2470    2475    2480
  2477.5  2472.5  2467.5  2462.5  2457.5  2452.5  2452.5  2452.5  2452.5  2452.5  2452.5  2452.5  2452.5  2452.5  2452.5  2452.5  2457.5  2462.5  2467.5  2472.5  2477.5
    2475    2470    2465    2460    2455    2450    2450    2450    2450    2450    2450    2450    2450    2450    2450    2450    2455    2460    2465    2470    2475
  2472.5  2467.5  2462.5  2457.5  2452.5  2447.5  2447.5  2447.5  2447.5  2447.5  2447.5  2447.5  2447.5  2447.5  2447.5  2447.5  2452.5  2457.5  2462.5  2467.5  2472.5
    2470    2465    2460    2455    2450    2445    2445    2445    2445    2445    2445    2445    2445    2445    2445    2445    2450    2455    2460    2465    2470
  2467.5  2462.5  2457.5  2452.5  2447.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2447.5  2452.5  2457.5  2462.5  2467.5
    2465    2460    2455    2450    2445    2440    2440    2440    2440    2440    2440    2440    2440    2440    2440    2440    2445    2450    2455    2460    2465
